"id" ;"reference" ;"libelle"  ;"description"                                                                                                                              ;"prix_unitaire" ;"image"                                                                                           ;"stock" ;"tva"   ;"active" ;"id_fournisseur" ;"id_rubrique"
"1"  ;"54932090"  ;"Towels"   ;"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality" ;"376.00"        ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/82.jpg"   ;"3"     ;"1.64"  ;"true"   ;"1"              ;"4"
"2"  ;"70317226"  ;"Shoes"    ;"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart"                        ;"537.00"        ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/943.jpg"  ;"2"     ;"23.39" ;"false"  ;"2"              ;"5"
"3"  ;"47855186"  ;"Sausages" ;"Andy shoes are designed to keeping in mind durability as well as trends, the most stylish range of shoes & sandals"                       ;"684.00"        ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1198.jpg" ;"5"     ;"24.52" ;"true"   ;"3"              ;"6"
"4"  ;"02184012"  ;"Bacon"    ;"The Football Is Good For Training And Recreational Purposes"                                                                              ;"289.00"        ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/363.jpg"  ;"3"     ;"17.93" ;"false"  ;"4"              ;"7"
"5"  ;"65283797"  ;"Cheese"   ;"The Nagasaki Lander is the trademarked name of several series of Nagasaki sport bikes, that started with the 1984 ABC800J"                ;"303.00"        ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/904.jpg"  ;"4"     ;"18.30" ;"true"   ;"5"              ;"8"
"6"  ;"76639387"  ;"Computer" ;"The Apollotech B340 is an affordable wireless mouse with reliable connectivity, 12 months battery life and modern design"                 ;"807.00"        ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/606.jpg"  ;"4"     ;"5.60"  ;"false"  ;"6"              ;"8"
"7"  ;"22781869"  ;"Chair"    ;"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality" ;"224.00"        ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/730.jpg"  ;"4"     ;"23.31" ;"true"   ;"7"              ;"9"
"8"  ;"43473251"  ;"Shirt"    ;"New range of formal shirts are designed keeping you in mind. With fits and styling that will make you stand apart"                        ;"922.00"        ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/439.jpg"  ;"1"     ;"3.10"  ;"false"  ;"8"              ;"10"
"9"  ;"10643931"  ;"Ball"     ;"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality" ;"86.00"         ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/836.jpg"  ;"3"     ;"22.41" ;"true"   ;"9"              ;"5"
"10" ;"40477343"  ;"Fish"     ;"The slim & simple Maple Gaming Keyboard from Dev Byte comes with a sleek body and 7- Color RGB LED Back-lighting for smart functionality" ;"537.00"        ;"https://cloudflare-ipfs.com/ipfs/Qmd3W5DuhgHirLHGVixi6V76LhCkZUz6pnFt5AJBiyvHye/avatar/1113.jpg" ;"1"     ;"5.58"  ;"true"   ;"10"             ;"6"
